Timestamp (s),Port 3: Temp (K),Port 2: Pressure (atm),Pressure Rate (atm/s),Port 1: Servo Status,Total System Mass (lbs)
0.0,288.73,145.18,0.0,90° (OPEN - VENTING),12.283
1.0,290.41,134.47,-10.4,0° (CLOSED),12.171
2.0,291.43,134.94,0.47,0° (CLOSED),12.171
3.0,292.73,135.55,0.6,0° (CLOSED),12.171
4.0,294.23,136.24,0.69,0° (CLOSED),12.171
5.0,294.97,136.59,0.35,0° (CLOSED),12.171
6.0,296.82,137.44,0.85,0° (CLOSED),12.171
7.0,297.87,137.93,0.48,0° (CLOSED),12.171
8.0,299.91,138.87,0.95,0° (CLOSED),12.171
9.0,302.1,139.89,1.01,0° (CLOSED),12.171
10.0,303.18,140.39,0.5,0° (CLOSED),12.171
11.0,304.44,140.97,0.58,0° (CLOSED),12.171
12.0,305.04,141.25,0.28,0° (CLOSED),12.171
13.0,306.33,141.85,0.6,0° (CLOSED),12.171
14.0,308.06,142.64,0.8,0° (CLOSED),12.171
15.0,310.18,143.63,0.98,0° (CLOSED),12.171
16.0,311.87,144.41,0.78,0° (CLOSED),12.171
17.0,312.49,144.7,0.29,0° (CLOSED),12.171
18.1,308.08,145.44,0.74,90° (OPEN - VENTING),12.171
19.1,310.06,134.96,-10.46,0° (CLOSED),12.067
20.1,311.92,135.77,0.81,0° (CLOSED),12.067
21.1,312.69,136.1,0.33,0° (CLOSED),12.067
22.1,314.33,136.82,0.71,0° (CLOSED),12.067
23.1,314.94,137.08,0.26,0° (CLOSED),12.067
24.1,317.12,138.03,0.94,0° (CLOSED),12.067
25.1,318.85,138.78,0.75,0° (CLOSED),12.067
26.1,320.95,139.7,0.91,0° (CLOSED),12.067
27.1,321.95,140.13,0.43,0° (CLOSED),12.067
28.1,323.89,140.98,0.84,0° (CLOSED),12.067
29.1,325.4,141.64,0.66,0° (CLOSED),12.067
30.1,327.02,142.34,0.7,0° (CLOSED),12.067
31.1,328.42,142.95,0.61,0° (CLOSED),12.067
32.1,330.4,143.81,0.86,0° (CLOSED),12.067
33.1,332.41,144.69,0.87,0° (CLOSED),12.067
34.1,328.53,145.61,0.92,90° (OPEN - VENTING),12.067
35.1,330.4,135.18,-10.42,0° (CLOSED),11.969
36.1,332.48,136.03,0.85,0° (CLOSED),11.969
37.1,334.57,136.89,0.85,0° (CLOSED),11.969
38.1,336.17,137.54,0.66,0° (CLOSED),11.969
39.1,338.27,138.4,0.86,0° (CLOSED),11.969
40.1,339.3,138.82,0.42,0° (CLOSED),11.969
41.1,341.22,139.61,0.79,0° (CLOSED),11.969
42.1,341.98,139.92,0.31,0° (CLOSED),11.969
43.1,343.07,140.37,0.45,0° (CLOSED),11.969
44.1,344.85,141.09,0.72,0° (CLOSED),11.969
45.1,346.66,141.83,0.74,0° (CLOSED),11.969
46.1,347.34,142.11,0.28,0° (CLOSED),11.969
47.1,349.14,142.85,0.73,0° (CLOSED),11.969
48.1,351.25,143.71,0.87,0° (CLOSED),11.969
49.1,353.17,144.5,0.78,0° (CLOSED),11.969
50.1,348.4,145.0,0.49,90° (OPEN - VENTING),11.969
51.1,349.71,134.5,-10.49,0° (CLOSED),11.876
52.1,350.83,134.93,0.43,0° (CLOSED),11.876
53.1,352.4,135.53,0.6,0° (CLOSED),11.876
54.1,354.19,136.22,0.69,0° (CLOSED),11.876
55.1,356.07,136.94,0.72,0° (CLOSED),11.876
56.1,357.64,137.55,0.6,0° (CLOSED),11.876
57.1,358.61,137.92,0.37,0° (CLOSED),11.876
58.1,360.77,138.75,0.83,0° (CLOSED),11.876
59.1,361.54,139.05,0.3,0° (CLOSED),11.876
60.1,363.7,139.88,0.83,0° (CLOSED),11.876
